ocid,fecha_compilacion,segmento_mes,tender_id,nomenclatura,descripcion,metodo_ocds,tipo_procedimiento,categoria,monto_referencial,moneda,monto_referencial_pen,fecha_convocatoria,n_postores_declarado,info_protegida_por_ley,presupuesto,comprador_id,comprador_nombre,archivo_mes,n_releases,fecha_primer_release,fecha_ultimo_release,departamento_raw,provincia_raw,distrito_raw,n_postores_filas,n_postores_unicos,n_adjudicaciones,monto_adjudicado,proveedores,proveedores_ids,n_contratos,monto_contratado,fecha_primer_contrato
ocds-dgv273-seacev3-1242391,2026-09-23T10:18:05.278573-05:00,2026-08,1242391,CP-ABR-5-2025-C-SEDA AYACUCHO-4,SERVICIO A TODO COSTO DE LA ELABORACION DEL ESTUDIO HIDROLOGICO PARA LA IDENTIFICACION DE NUEVAS FUENTES DE ABASTECIMIENTO DE AGUA PARA SEDA AYACUCHO,,Concurso Público Abreviado,services,117271.35,PEN,117271.35,2026-08-18T19:05:00-05:00,17.0,False,,PE-CONSUCODE-2368,ENTIDAD PRESTADORA DE SERVICIO DE SANEAMIENTO AYACUCHO S.A,2026-08,16,2026-08-19T10:31:57.108660-05:00,2026-09-23T10:18:05.278573-05:00,AYACUCHO,HUAMANGA,AYACUCHO,17,17,0,,,,0,,
ocds-dgv273-seacev3-1239347,2026-09-23T10:18:05.254824-05:00,2026-08,1239347,CP SER-SM-4-2026-DSRTC-CH-1,"SERVICIO PARA LA EJECUCION DE LA ACTIVIDAD: MANTENIMIENTO PERIODICO DE LA RED VIAL DEPARTAMENTAL NO PAVIMENTADA - TRAMO: TALAVERA (KM 03+660) - UMACA (23+540); UMACA (KM 23+940) - OCOBAMBA (KM  42+200), MULTIDISTRITAL - MULTIPROVINCIAL - APURIMAC"", LONG. = 38.14 KM",,Concurso Público de Servicios,services,1722208.0,PEN,1722208.0,2026-08-07T16:44:00-05:00,70.0,False,,PE-CONSUCODE-10407,GOBIERNO REGIONAL DE APURIMAC-TRANSPORTES CHANKA,2026-08,38,2026-08-10T10:05:41.216645-05:00,2026-09-23T10:18:05.254824-05:00,APURIMAC,ABANCAY,ABANCAY,70,70,1,1722208.0,MARVI CONSTRUCTORA & CONTRATISTAS GENERALES S.A.C.,PE-RUC-20534543485,0,,
ocds-dgv273-seacev3-1238557,2026-09-23T10:18:05.238597-05:00,2026-08,1238557,LP-ABR-4-2026-CS/MDA-1,"CONTRATACIÓN PARA LA EJECUCIÓN DE LA OBRA: ¿RENOVACIÓN DE PUENTE; EN EL(LA) CAMINO VECINAL HV - 738 DE LA RUTA PALERMO - MANZANAYOCC EN LA LOCALIDAD TOTORA DISTRITO DE ANCO, PROVINCIA CHURCAMPA, DEPARTAMENTO HUANCAVELICA¿. CUI:  2663747.",,Licitación Pública Abreviada,works,2892966.64,PEN,2892966.64,2026-08-04T18:29:00-05:00,8.0,False,2892966.64,PE-CONSUCODE-942,MUNICIPALIDAD DISTRITAL DE ANCO - CHURCAMPA,2026-08,13,2026-08-05T10:26:25.692929-05:00,2026-09-23T10:18:05.238597-05:00,HUANCAVELICA,CHURCAMPA,ANCO,8,8,1,2892966.64,CONSORCIO TOTORA,PE-RUC-1821341,1,2892966.64,2026-09-03T00:00:00-05:00
ocds-dgv273-seacev3-1230898,2026-09-23T10:18:05.231990-05:00,2026-06,1230898,CP SER-SM-8-2026-IPD/CS-1,CONTRATACIÓN DE SERVICIO DE CUSTODIA Y GESTIÓN DE ALMACENAMIENTO Y DISTRIBUCIÓN PARA LOS BIENES DEPORTIVOS Y NO DEPORTIVOS DEL INSTITUTO PERUANO DEL DEPORTE,,Concurso Público de Servicios,services,0.0,PEN,0.0,2026-06-30T20:25:00-05:00,,True,,PE-CONSUCODE-1982,INSTITUTO PERUANO DEL DEPORTE,2026-06,42,2026-07-08T12:25:36.352241-05:00,2026-09-23T10:18:05.231990-05:00,LIMA,LIMA,LIMA,0,0,0,,,,0,,
ocds-dgv273-seacev3-1228797,2026-09-23T10:18:05.213100-05:00,2026-06,1228797,CP CON-SM-2-2026-GRA/SRP/C-1,"CONSULTORIA DE OBRA PARA LA ELABORACIÓN DEL EXPEDIENTE TECNICO DEL PROYECTO: ¿MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD VIAL INTERURBANA EN VIAS VECINALES EMP. PE-1N-CASMAALTA-CANTINA-SAN RAFAEL-CHOLOQUE-CALAVERA CHICA ¿ CALAVERA GRANDE ¿ FUNDO PACAE-NIVIN-JAIHUA-MUDA (MUÑA)-EMP. PE-14, DISTRITO",,Concurso Público para Consultoría,services,1400000.0,PEN,1400000.0,2026-06-26T11:03:00-05:00,27.0,False,1400000.0,PE-CONSUCODE-200039,GOBIERNO REGIONAL DE ANCASH - SUB REGION PACIFICO,2026-06,24,2026-07-08T12:25:34.781071-05:00,2026-09-23T10:18:05.213100-05:00,ANCASH,SANTA,NUEVO CHIMBOTE,27,27,1,1260000.0,CONSORCIO JL,PE-RUC-1821853,1,1260000.0,2026-09-17T00:00:00-05:00
ocds-dgv273-seacev3-1244459,2026-09-23T10:18:05.192075-05:00,2026-08,1244459,DIRECTA-DIRECTA-7-2026-HGJ-1,"ADQUISICIÓN ANUAL DE BUPRENORFINA, 35 ¿g/h (20 mg COMO BASE), PARCHE, PARA EL HOSPITAL GENERAL DE JAÉN",direct,Contratación Directa,goods,66270.0,PEN,66270.0,2026-08-25T20:06:00-05:00,1.0,False,66270.0,PE-CONSUCODE-200051,GOBIERNO REGIONAL DE CAJAMARCA-HOSPITAL GENERAL DE JAEN,2026-08,7,2026-08-26T10:29:20.887006-05:00,2026-09-23T10:18:05.192075-05:00,CAJAMARCA,JAEN,JAEN,1,1,1,66270.0,GRUNENTHAL PERUANA S A,PE-RUC-20100091543,1,66270.0,2026-09-21T00:00:00-05:00
ocds-dgv273-seacev3-1244214,2026-09-23T10:18:05.176563-05:00,2026-08,1244214,CP-ABR-6-2026-IVP AMBO/CS-1,"SERVICIO DE EJECUCIÓN DEL MANTENIMIENTO RUTINARIO DEL CAMINO VECINAL NO PAVIMENTADO, TRAMO: EMP. PE-18 (COCHACHINCHE) - ANGASMARCA (KM 12+650); ANGASMARCA (KM 13+000) - AÑAY; L=20.360 KM; UBICADO EN EL DISTRITO DE HUÁCAR, PROVINCIA DE AMBO, DEPARTAMENTO DE HUÁNUCO, CON CÓDIGO DE RUTA: HU-1072.",,Concurso Público Abreviado,services,54749.67,PEN,54749.67,2026-08-25T17:44:00-05:00,5.0,False,54749.67,PE-CONSUCODE-200243,INSTITUTO VIAL PROVINCIAL DE AMBO,2026-08,15,2026-08-26T10:29:20.691103-05:00,2026-09-23T10:18:05.176563-05:00,HUANUCO,AMBO,AMBO,5,5,1,54749.64,INVERSIONES LIAM LAF EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA,PE-RUC-20610368485,1,54749.64,2026-09-11T00:00:00-05:00
ocds-dgv273-seacev3-1242998,2026-09-23T10:18:05.162437-05:00,2026-08,1242998,COMPRE-COMPRE-4-2026-MPSCH/DEC-1,CONTRATACIÓN DEL SERVICIO A TODO COSTO PARA LA EJECUCIÓN DE SEIS (06) PLANES DE MANTENIMIENTO DE SISTEMAS DE AGUA POTABLE DEL DISTRITO DE SANTIAGO DE CHUCO,open,Comparación de Precios,services,63140.0,PEN,63140.0,2026-08-20T08:38:00-05:00,2.0,False,63140.0,PE-CONSUCODE-1245,MUNICIPALIDAD PROVINCIAL DE SANTIAGO DE CHUCO,2026-08,9,2026-08-21T10:31:12.025624-05:00,2026-09-23T10:18:05.162437-05:00,LA LIBERTAD,SANTIAGO DE CHUCO,SANTIAGO DE CHUCO,2,2,1,63135.0,YUL & CONSTRUCCIONES YIREH EI.R.L.,PE-RUC-20614718251,1,63135.0,2026-09-16T00:00:00-05:00
ocds-dgv273-seacev3-1239635,2026-09-23T10:18:05.148145-05:00,2026-08,1239635,CP-ABR-17-2026-SAN GABAN S.A.-1,SERVICIO DE MANTENIMIENTO DE CANALETAS PLUVIALES EN LA VILLA DE RESIDENTES DE LA C.H. SAN GABAN II,,Concurso Público Abreviado,services,0.0,PEN,0.0,2026-08-07T20:10:00-05:00,,True,,PE-CONSUCODE-2397,EMPRESA DE GENERACION ELECTRICA SAN GABAN S.A.,2026-08,29,2026-08-10T10:05:41.392212-05:00,2026-09-23T10:18:05.148145-05:00,PUNO,PUNO,PUNO,0,0,0,,,,0,,
ocds-dgv273-seacev3-2026-200191-98,2026-09-23T10:18:05.128717-05:00,2026-08,1244602,CP-ABR-27-2026-HDNA-2,SERVICIO DE REPARACIÓN DE ARTEFACTOS AVERIADOS POR SOBRE TENSIÓN EN LA UNIDAD EMPRESARIAL CHIMBOTE,,Concurso Público Abreviado,services,241710.0,PEN,241710.0,2026-08-26T11:04:00-05:00,3.0,False,,PE-CONSUCODE-200191,EMPRESA REGIONAL DE SERVICIO PUBLICO DE ELECTRICIDAD ELECTRO NOR MEDIO SA HIDRANDINA,2026-08,27,2026-07-21T10:16:37.820688-05:00,2026-09-23T10:18:05.128717-05:00,LA LIBERTAD,TRUJILLO,TRUJILLO,6,6,1,241680.0,GONZALES PISFIL ANGEL IVAN,PE-RUC-10459075416,0,,
ocds-dgv273-seacev3-1250738,2026-09-23T10:18:05.087883-05:00,2026-08,1250738,LP-ABR-16-2026-HEVES-MINSA-1,"ADQUISICIÓN DE REACTIVOS DE BIOQUÍMICA E INMUNOLOGÍA CON EQUIPO EN CESIÓN DE USO, PARA LA UNIDAD DE PATOLOGÍA CLÍNICA DEL SERVICIO DE APOYO AL DIAGNÓSTICO Y BANCO DE SANGRE DEL DEPARTAMENTO DE ATENCIÓN DE APOYO AL DIAGNÓSTICO Y TRATAMIENTO - HOSPITAL DE EMERGENCIAS VILLA EL SALVADOR",,Licitación Pública Abreviada,goods,0.0,PEN,0.0,2026-08-27T16:55:00-05:00,,True,,PE-CONSUCODE-203086,HOSPITAL DE EMERGENCIAS VILLA EL SALVADOR,2026-08,2,2026-09-18T10:23:19.820956-05:00,2026-09-23T10:18:05.087883-05:00,LIMA,LIMA,VILLA EL SALVADOR,0,0,0,,,,0,,
ocds-dgv273-seacev3-1246158,2026-09-23T10:18:05.071579-05:00,2026-08,1246158,LP-ABR-5-2026-MDC/CS-1,"ejecución de la obra ¿MEJORAMIENTO DEL SERVICIO DE PROVISIÓN DE AGUA PARA RIEGO EN EL CANAL DE CONDUCCIÓN DESDE EL SECTOR DE CASHUCRO HASTA EL SECTOR DE HUALLCALLANCA, DISTRITO DE CUSCA DE LA PROVINCIA DE CORONGO DEL DEPARTAMENTO DE ÁNCASH¿, con CUI N.° 2708344",,Licitación Pública Abreviada,works,1185258.72,PEN,1185258.72,2026-08-25T19:09:00-05:00,6.0,False,1185258.72,PE-CONSUCODE-207,MUNICIPALIDAD DISTRITAL DE CUSCA,2026-08,11,2026-09-01T10:23:55.901893-05:00,2026-09-23T10:18:05.071579-05:00,ANCASH,CORONGO,CUSCA,6,6,1,1185258.72,CONSORCIO CASHUCRO,PE-RUC-1828247,1,1185258.72,2026-09-18T00:00:00-05:00
ocds-dgv273-seacev3-1243219,2026-09-23T10:18:05.064734-05:00,2026-08,1243219,LP-SM-6-2026-MPCP-C-1,"CONTRATACIÓN PARA LA EJECUCIÓN DE LA OBRA: ¿MEJORAMIENTO DEL SERVICIO DE MOVILIDAD URBANA EN LAS VÍAS LOCALES DEL JR. SÁNCHEZ CERRO (DESDE EL JR. GUILLERMO SISLEY HASTA JR. COMANDANTE SUAREZ) EN EL CENTRO POBLADO PUCALLPA, DISTRITO DE CALLERIA DE LA PROVINCIA DE CORONEL PORTILLO DEL DEPARTAMENTO DE",open,Licitación Pública,works,6739943.43,PEN,6739943.43,2026-08-25T15:21:00-05:00,,True,,PE-CONSUCODE-1871,MUNICIPALIDAD PROVINCIAL DE CORONEL PORTILLO,2026-08,23,2026-08-26T10:29:15.828940-05:00,2026-09-23T10:18:05.064734-05:00,UCAYALI,CORONEL PORTILLO,CALLERIA,0,0,0,,,,0,,
ocds-dgv273-seacev3-1236779,2026-09-23T10:18:05.057470-05:00,2026-07,1236779,LP-SM-4-2026-CS/MPJB-1,"ADQUISICION DE CAMION VOLQUETE DE 20M3, PARA EL IOARR: ¿ADQUISICION DE TRACTOR DE ORUGAS, EXCAVADORA HIDRAULICA, VOLQUETE Y CAMION CISTERNA, ADEMAS DE OTROS ACTIVOS EN LA ADMINISTRACION DE MAQUINARIA Y EQUIPO PESADO DEL DISTRITO  DE LOCUMBA, PROVINCIA JORGE BASADRE, DEPARTAMENTO DE TACNA.",open,Licitación Pública,goods,0.0,PEN,0.0,2026-07-24T16:05:00-05:00,,True,,PE-CONSUCODE-1850,MUNICIPALIDAD PROVINCIAL DE JORGE BASADRE - LOCUMBA,2026-07,30,2026-07-25T10:12:55.636802-05:00,2026-09-23T10:18:05.057470-05:00,TACNA,JORGE BASADRE,LOCUMBA,0,0,0,,,,0,,
ocds-dgv273-seacev3-1244261,2026-09-23T10:18:04.998357-05:00,2026-08,1244261,CP-ABR-6-2026-RED SALUD JAUJA-1,CONTRATACION DEL SERVICIO DE TECNICAS EN ENFERMERIA PARA LOS DIFERENTES SERVICIOS DEL CENTRO DE SALUD LA OROYA,,Concurso Público Abreviado,services,484011.0,PEN,484011.0,2026-08-25T14:18:00-05:00,17.0,False,,PE-CONSUCODE-10483,GOBIERNO REGIONAL DE JUNIN - UNIDAD TERRITORIAL DE SALUD JAUJA,2026-08,19,2026-08-26T10:29:20.716899-05:00,2026-09-23T10:18:04.998357-05:00,JUNIN,JAUJA,JAUJA,17,17,7,77000.0,AZA SEGURA ROSARIO MERCEDES | CULLACHAGUA RODRIGUEZ YRENE YESICA | FLORES CARHUACUSMA ROSA FORTUNATA | REYNOSO ROCA IRMA ALVINA | SALAZAR COCHACHI JEAN PATRICK | SANTOS CUYUBAMBA MARITZA IVONNE | TORRES SAQUICORAY ANGIE GIOVANA,PE-RUC-10212866267 | PE-RUC-10410239308 | PE-RUC-10424677740 | PE-RUC-10442791819 | PE-RUC-10712295266 | PE-RUC-10718822667 | PE-RUC-10743642690,0,,
ocds-dgv273-seacev3-1235132,2026-09-23T10:18:04.984320-05:00,2026-07,1235132,LP-ABR-8-2026-IPD/CS-1,"ADQUISICIÓN DE INDUMENTARIA PARA LOS ORGANIZADORES, PARTICIPANTES Y VOLUNTARIOS DE LOS ¿JUEGOS DEPORTIVOS NACIONALES IPD¿",,Licitación Pública Abreviada,goods,235052.0,PEN,235052.0,2026-07-17T19:33:00-05:00,41.0,False,,PE-CONSUCODE-1982,INSTITUTO PERUANO DEL DEPORTE,2026-07,34,2026-07-18T10:18:32.956229-05:00,2026-09-23T10:18:04.984320-05:00,LIMA,LIMA,LIMA,41,41,2,449500.0,INDUSTRIAS OZUL EXPORT AND IMPORT E.I.R.L. | VINILO PUBLICIDAD S.A.C.,PE-RUC-20602519709 | PE-RUC-20612024287,0,,
